DATE,BRAND_NAME,PRODUCT_DESCRIPTION,REASON,COMPANY,COMPANY_RELEASE_LINK,PHOTOS_LINK
"Fri, 24 Nov 2017 12:01:00 -0500",Sun Pharma,"Riomet® (Metformin Hydrochloride Oral Solution), 500 mg/5mL",Microbial Contamination (Scopulariopsis brevicaulis),Sun Pharmaceutical Industries Ltd,https://www.fda.gov/Safety/Recalls/ucm586452.htm,
"Thu, 23 Nov 2017 00:00:00 -0500",Fit &amp; Active,Chocolatey Chip Protein Meal Bars,Foreign matter: small piece of yellow plastic,Leclerc,https://www.fda.gov/Safety/Recalls/ucm586503.htm,
"Wed, 22 Nov 2017 13:29:00 -0500",Colorado Nut Company and various other private labels,"Cashew Cranberry Cherry Jubilee, Oat Bran Nutty Crunch, Honey Nutty Granola, Peanut Delight, and Frontier Trail Mix",Undeclared milk,Colorado Nut Company,https://www.fda.gov/Safety/Recalls/ucm586430.htm,
"Sat, 18 Nov 2017 00:00:00 -0500",Goya,Adobo with cumin seasoning; adobo with pepper seasoning,Salmonella,Goya de Puerto Rico,https://www.fda.gov/Safety/Recalls/ucm586026.htm,
"Fri, 17 Nov 2017 00:00:00 -0500",Casa Sanchez,Guacamole,Listeria monocytogenes,Casa Sanchez Foods,https://www.fda.gov/Safety/Recalls/ucm585795.htm,
"Fri, 17 Nov 2017 00:00:00 -0500",Casa Sanchez,Guacamole,Listeria monocytogenes,Casa Sanchez Foods,https://www.fda.gov/Safety/Recalls/ucm585798.htm,
"Thu, 16 Nov 2017 17:25:00 -0500",Greenstone LLC,"diphenoxylate hydrochloride and atropine sulfate tablets, USP",Sub Potent and Super Potent Tablets,"Greenstone LLC, a wholly owned subsidiary of Pfizer Inc.",https://www.fda.gov/Safety/Recalls/ucm585708.htm,
"Thu, 16 Nov 2017 14:52:00 -0500","All Natural, Weis, generic",Dark chocolate products,Undeclared milk,"Lipari Foods, LLC",https://www.fda.gov/Safety/Recalls/ucm585645.htm,
"Wed, 15 Nov 2017 00:00:00 -0500","Yorgo&#39;s, Trader Joe&#39;s","Hummus, tahini sauces, yogurt dips, more",Listeria monocytogenes,"Yorgo&#39;s Foods, Inc.",https://www.fda.gov/Safety/Recalls/ucm585420.htm,
"Wed, 15 Nov 2017 00:00:00 -0500",Giant,Description Corn,Listeria monocytogenes,"Giant Food, LLC",https://www.fda.gov/Safety/Recalls/ucm585540.htm,
"Wed, 15 Nov 2017 00:00:00 -0500",GIANT/MARTIN&#39;S,Corn,Listeria monocytogenes,"GIANT Food Stores, LLC and MARTIN’S Food Markets",https://www.fda.gov/Safety/Recalls/ucm585557.htm,
"Wed, 15 Nov 2017 00:00:00 -0500",Stop &amp; Shop,Corn,Listeria monocytogenes,The Stop &amp; Shop Supermarket Company LLC,https://www.fda.gov/Safety/Recalls/ucm585550.htm,
"Wed, 15 Nov 2017 00:00:00 -0500",Casa Sanchez,Guacamole,Listeria monocytogenes,Casa Sanchez Foods,https://www.fda.gov/Safety/Recalls/ucm585499.htm,
"Tue, 14 Nov 2017 00:00:00 -0500",Nexterone,Amiodarone HCl,Particulate matter,Baxter International Inc,https://www.fda.gov/Safety/Recalls/ucm585155.htm,
"Mon, 13 Nov 2017 00:00:00 -0500",Dilettante Chocolates,Espresso Beans,Undeclared almonds,Seattle Gourmet Foods,https://www.fda.gov/Safety/Recalls/ucm584926.htm,
"Fri, 10 Nov 2017 00:00:00 -0500",Hot Pockets,Cheese Pizza Snack Bites,"Undeclared egg, milk, soy, and wheat",Nestle USA,https://www.fda.gov/Safety/Recalls/ucm584770.htm,
"Fri, 10 Nov 2017 00:00:00 -0500",Yorgo Foods Inc.,varieties of Hommus and Baba Ghannouj,Listeria monocytogenes,Yorgo Foods,https://www.fda.gov/Safety/Recalls/ucm584693.htm,
"Thu, 09 Nov 2017 17:44:00 -0500",Figi’s,Bulk dark chocolate gingersnaps and Christmas gingersnap variety,Undeclared Milk,Figi’s Companies,https://www.fda.gov/Safety/Recalls/ucm584663.htm,
"Tue, 07 Nov 2017 17:57:00 -0500",Nature&#39;s Touch,Frozen Green Beans,Listeria monocytogenes,Nature&#39;s Touch Frozen Foods LLC,https://www.fda.gov/Safety/Recalls/ucm584148.htm,
"Tue, 07 Nov 2017 00:00:00 -0500",Germack,Dark Chocolate Almond Bark,Undeclared Milk,Germack Roasting Co,https://www.fda.gov/Safety/Recalls/ucm584628.htm,
"Fri, 03 Nov 2017 19:00:00 -0400","DSD Merchandisers, Inc.",Dark Chocolate Almond Products,Undeclared Milk,"DSD Merchandisers, Inc.",https://www.fda.gov/Safety/Recalls/ucm583862.htm,
"Fri, 03 Nov 2017 00:00:00 -0400",Fresenius Kabi USA,"Midazolam Injection, USP prefilled syringe",Mislabeled,Fresenius Kabi USA,https://www.fda.gov/Safety/Recalls/ucm583799.htm,
"Thu, 02 Nov 2017 15:26:00 -0400","CVS Gold Emblem, Ocean State Candy, Hannaford Excellent, Market Basket, &amp; Weigels",Dark Chocolate Products,Undeclared Milk,"New American Food Products, LLC",https://www.fda.gov/Safety/Recalls/ucm583556.htm,
"Wed, 01 Nov 2017 18:59:00 -0400","Aurora, AG Supermarkets, Belmont Market, and others",Dark Chocolate Products,Undeclared Milk,"Aurora Products, Inc.",https://www.fda.gov/Safety/Recalls/ucm583376.htm,
"Wed, 01 Nov 2017 00:00:00 -0400",Setton Farms,Dark Chocolate Products,Undeclared Milk,"Setton Internatonal Foods, Inc.",https://www.fda.gov/Safety/Recalls/ucm583810.htm,
"Wed, 01 Nov 2017 00:00:00 -0400",Dutch Valley Food Distributors Inc.,Dark Chocolate Almonds and Cashews,Undeclared Milk,Dutch Valley Food Distributors Inc.,https://www.fda.gov/Safety/Recalls/ucm583963.htm,
"Wed, 01 Nov 2017 00:00:00 -0400",Ridge Properties DBA Pain Relief Naturally,Pain and itch relief products,Violations of current good manufacturing practice regulations.,Ridge Properties DBA Pain Relief Naturally,https://www.fda.gov/Safety/Recalls/ucm583820.htm,
"Wed, 01 Nov 2017 00:00:00 -0400",None,"Chocolate covered coffee beans, cranberries, almonds, raisins, pretzel balls, ginger",Undeclared Milk,Kroger,https://www.fda.gov/Safety/Recalls/ucm584279.htm,
"Wed, 01 Nov 2017 00:00:00 -0400","Blue Marble, Roundy&#39;s Select, and HyVee",Dark Chocolate Products,Undeclared milk,GKI Foods LLC,https://www.fda.gov/Safety/Recalls/ucm582645.htm,
"Tue, 31 Oct 2017 20:30:00 -0400",Toothsome Chocolate Emporium,Dark Chocolate Coffee Beans,Undeclared milk,"Rucker’s Makin’ Batch Candies, Inc.",https://www.fda.gov/Safety/Recalls/ucm583177.htm,
"Tue, 31 Oct 2017 18:04:00 -0400",Uncle Buck’s and Family Choice,Dark Chocolate Peanuts,Undeclared milk,Rucker’s Wholesale and Service Co,https://www.fda.gov/Safety/Recalls/ucm583172.htm,
"Tue, 31 Oct 2017 00:00:00 -0400","Woodstock, Market Basket, Lunds &amp; Byerlys",Dark Chocolate Almonds and Cashews,Undeclared Milk,United Natural Trading LLC,https://www.fda.gov/Safety/Recalls/ucm584018.htm,
"Tue, 31 Oct 2017 00:00:00 -0400",21st Century Snack Foods,Dark Chocolate Almonds,Undeclared Milk,21st Century Snack Foods,https://www.fda.gov/Safety/Recalls/ucm583045.htm,
"Tue, 31 Oct 2017 00:00:00 -0400",Shoreline Fruit and Cherry Bay Orchards,Dark Chocolate Covered Cherry Products,Undeclared milk,Shoreline Fruit LLC,https://www.fda.gov/Safety/Recalls/ucm583254.htm,
"Mon, 30 Oct 2017 11:17:00 -0400","Wegmans, Alpine Valley, Circle K and others",Dark Chocolate Products,Undeclared Milk,First Source,https://www.fda.gov/Safety/Recalls/ucm582769.htm,
"Sat, 28 Oct 2017 00:00:00 -0400",Meijer,Dark Chocolate Products,Undeclared Milk,Meijer,https://www.fda.gov/Safety/Recalls/ucm582902.htm,
"Fri, 27 Oct 2017 00:00:00 -0400",Cardinal Health,Infant/Child Reduced Energy Defibrillation Electrodes,Incorrect artwork on the defibrillation electrodes within the packaging,Physio-Control,https://www.fda.gov/Safety/Recalls/ucm583529.htm,
"Fri, 27 Oct 2017 00:00:00 -0400",Whole Foods Market,Pumpkin Drop cookies,Undeclared tree nut allergens (walnuts),Whole Foods Market,https://www.fda.gov/Safety/Recalls/ucm583156.htm,
"Wed, 25 Oct 2017 15:09:00 -0400",Ready.Chef.Go!,Seafood meal bags,Listeria monocytogenes,"Randalls, Tom Thumb and Albertsons",https://www.fda.gov/Safety/Recalls/ucm582115.htm,
"Wed, 25 Oct 2017 00:00:00 -0400",CP Fresh,Salad kits and stir fry mixes,"Listeria monocytogenes, Mann2017",Triple B Corporation,https://www.fda.gov/Safety/Recalls/ucm581577.htm,
"Wed, 25 Oct 2017 00:00:00 -0400","Charlie&#39;s Produce, Alaska Carrot",Salad kits and stir fry mixes,"Listeria monocytogenes, Mann2017",Triple B Corporation,https://www.fda.gov/Safety/Recalls/ucm581569.htm,
"Tue, 24 Oct 2017 00:00:00 -0400","Albertsons, Safeway Vons, and Pak’N Save",Fresh vegetable trays and cups,Listeria monocytogenes,"Albertsons, Safeway Vons, and Pak’N Save",https://www.fda.gov/Safety/Recalls/ucm582118.htm,
"Tue, 24 Oct 2017 00:00:00 -0400",Newport,Tuna Loins,Salmonella,Relish Foods Inc.,https://www.fda.gov/Safety/Recalls/ucm582049.htm,
"Mon, 23 Oct 2017 23:19:00 -0400",Pacific Coast Fruit Company,Bagged Processed Salads,"Listeria monocytogenes, Mann2017",Pacific Coast Fruit Company,https://www.fda.gov/Safety/Recalls/ucm581788.htm,
"Mon, 23 Oct 2017 20:33:00 -0400",Just Cut,Broccoli Florets,"Listeria monocytogenes, Mann2017",Paragon Wholesale Foods Corp.,https://www.fda.gov/Safety/Recalls/ucm581781.htm,
"Mon, 23 Oct 2017 19:12:00 -0400",Tres Latin Foods,Pupusas,Undeclared milk,Tres Latin Foods,https://www.fda.gov/Safety/Recalls/ucm581779.htm,
"Mon, 23 Oct 2017 00:00:00 -0400","King Soopers, City Market",Deli broccoli salads and coleslaw,"Listeria monocytogenes, Mann2017",King Soopers,https://www.fda.gov/Safety/Recalls/ucm581856.htm,
"Sun, 22 Oct 2017 00:00:00 -0400",Toma Celena,Cheese,Listeria monocytogenes,Cooperstown Cheese Company,https://www.fda.gov/Safety/Recalls/ucm582124.htm,
"Sat, 21 Oct 2017 20:21:00 -0400",Ready.Chef.Go!,Seafood meal bags,"Listeria monocytogenes, Mann2017","Randalls, Tom Thumb and Albertsons",https://www.fda.gov/Safety/Recalls/ucm581547.htm,
"Sat, 21 Oct 2017 20:05:00 -0400",Meijer,Various packaged produce items,"Listeria Monocytogenes, Mann2017",Meijer,https://www.fda.gov/Safety/Recalls/ucm581546.htm,
"Sat, 21 Oct 2017 00:00:00 -0400",Giant Eagle,Breaded Shrimp,Undeclared egg,Giant Eagle,https://www.fda.gov/Safety/Recalls/ucm581729.htm,
"Sat, 21 Oct 2017 00:00:00 -0400",Earthbound Farm LLC,Chopped Asian Style Salad Kit,Undeclared milk and egg,Earthbound Farm LLC,https://www.fda.gov/Safety/Recalls/ucm581578.htm,
"Fri, 20 Oct 2017 21:00:00 -0400",BrightFarms,Salad and Basil products,E. coli,BrightFarms,https://www.fda.gov/Safety/Recalls/ucm581532.htm,
"Fri, 20 Oct 2017 18:39:00 -0400",SCA Pharmaceuticals LLC,Injectable drugs,Lack of Sterility Assurance,SCA Pharmaceuticals LLC,https://www.fda.gov/Safety/Recalls/ucm581531.htm,
"Fri, 20 Oct 2017 00:00:00 -0400","Albertsons, Safeway Vons, and Pak&#39;N Save",Fresh vegetable trays and cups,"Listeria monocytogenes, Mann2017","Albertsons, Safeway Vons, and Pak&#39;N Save",https://www.fda.gov/Safety/Recalls/ucm581548.htm,
"Fri, 20 Oct 2017 00:00:00 -0400",Whole Foods Market,Salads sold by the pound at salad bar,"Listeria Monocytogenes, Mann2017",Whole Foods Market,https://www.fda.gov/Safety/Recalls/ucm581534.htm,
"Fri, 20 Oct 2017 00:00:00 -0400",H-E-B,Soup,"Listeria monocytogenes, Mann2017",H-E-B,https://www.fda.gov/Safety/Recalls/ucm581603.htm,
"Thu, 19 Oct 2017 21:05:00 -0400",Mann&#39;s,Vegetable Products,"Listeria Monocytogenes, Mann2017",Mann Packing,https://www.fda.gov/Safety/Recalls/ucm581389.htm,
"Thu, 19 Oct 2017 20:17:00 -0400",Newport,Tuna Loins,Salmonella,Relish Foods Inc.,https://www.fda.gov/Safety/Recalls/ucm581388.htm,
"Thu, 19 Oct 2017 19:48:00 -0400",Wegmans,Honey Roast Nut Crunch,Undeclared almonds,First Source,https://www.fda.gov/Safety/Recalls/ucm581387.htm,
"Wed, 18 Oct 2017 15:22:00 -0400",Thanlwin,Fried Bean Snack,Undeclared Peanuts,Myanmar Wholesale,https://www.fda.gov/Safety/Recalls/ucm581204.htm,
"Tue, 17 Oct 2017 19:09:00 -0400",American Accent,Shredded Imitation Mozzarella Cheese,Undeclared milk,Great Lakes Cheese Co. Inc.,https://www.fda.gov/Safety/Recalls/ucm580957.htm,
"Tue, 17 Oct 2017 09:47:00 -0400",Kenny’s,Buckeye Pie,Undeclared wheat,"Kenny’s Great Pies, Inc.",https://www.fda.gov/Safety/Recalls/ucm580724.htm,
"Tue, 17 Oct 2017 00:00:00 -0400",weis,"Bacon, Lettuce and Tomato (BLT) sandwiches",Undeclared Egg,Weis Markets,https://www.fda.gov/Safety/Recalls/ucm581120.htm,
"Tue, 17 Oct 2017 00:00:00 -0400",O&#39;Soy,Strawberry Soy Yogurt,Undeclared Milk,Stonyfield,https://www.fda.gov/Safety/Recalls/ucm581029.htm,
"Mon, 16 Oct 2017 14:45:00 -0400",Spicely Organics,Organic Tarragon,Salmonella,"Organic Spices, Inc. dba Spicely Organics",https://www.fda.gov/Safety/Recalls/ucm580600.htm,
"Mon, 16 Oct 2017 11:38:00 -0400",Aunt Beth&#39;s,Cookies,Undeclared peanut and other tree nuts,Aunt Beth’s Cookies,https://www.fda.gov/Safety/Recalls/ucm580538.htm,
"Fri, 13 Oct 2017 17:44:00 -0400",Taste of Inspirations,Classic Red Skin Potato Salad,Undeclared egg,"A.S.K. Foods, Inc.",https://www.fda.gov/Safety/Recalls/ucm580471.htm,
"Fri, 13 Oct 2017 10:21:00 -0400",Merkts,Port Wine Cheese Spread,Presence of small pieces of plastic,"BEL BRANDS USA, INC",https://www.fda.gov/Safety/Recalls/ucm580343.htm,
"Fri, 13 Oct 2017 00:00:00 -0400",Whole Foods Market,Apple Cinnamon Hand Pies,Undeclared Milk,Whole Foods Market,https://www.fda.gov/Safety/Recalls/ucm580476.htm,
"Thu, 12 Oct 2017 16:56:00 -0400","Hannaford, Nice!, Fresh Selects, Enza&#39;s Choice","Egg Salad Sandwiches, Ham Salad Sandwiches, and Seafood Stuffing",Listeria monocytogenes,"Greencore USA, LLC",https://www.fda.gov/Safety/Recalls/ucm580271.htm,
"Wed, 11 Oct 2017 00:00:00 -0400",La Terra Fina,Spinach Artichoke &amp; Parmesan Dip &amp; Spread,Undeclared Egg,La Terra Fina,https://www.fda.gov/Safety/Recalls/ucm580130.htm,
"Mon, 09 Oct 2017 00:00:00 -0400",Cascadian Farm,Organic Cinnamon Raisin Granola,Undeclared Almonds,General Mills,https://www.fda.gov/Safety/Recalls/ucm579714.htm,
"Fri, 06 Oct 2017 00:00:00 -0400",Great American Deli,Chicken Salad Wheatberry Sandwich,Undeclared Eggs and Soy,Great American Deli,https://www.fda.gov/Safety/Recalls/ucm579516.htm,
"Fri, 06 Oct 2017 00:00:00 -0400",Whole Foods Market 365,Organic Raisin Bran,Undeclared Peanuts,Whole Food Markets,https://www.fda.gov/Safety/Recalls/ucm579511.htm,
"Thu, 05 Oct 2017 12:40:00 -0400",Baxter,"INTRALIPID 20% IV Fat Emulsion, 100 mL",Product exposed to subfreezing temperatures,Baxter International Inc.,https://www.fda.gov/Safety/Recalls/ucm579212.htm,
"Thu, 05 Oct 2017 00:00:00 -0400",A1 Slim,Dietary Supplement A1 Slim,"Unapproved new drug; tainted with sibutramine, phenolphthalein and N-Desmethyl sibutramine","Kiriko, LLC",https://www.fda.gov/Safety/Recalls/ucm581238.htm,
"Thu, 05 Oct 2017 00:00:00 -0400",A1,Dietary Supplement A1 Slim,"Unapproved new drug; tainted with sibutramine, phenolphthalein and N-Desmethyl sibutramine","Kiriko, LLC",https://www.fda.gov/Safety/Recalls/ucm579405.htm,
"Wed, 04 Oct 2017 00:00:00 -0400","Rhino 7, Papa Zen, Fifty Shades, and Grand X",Dietary Supplement,Unapproved new drug,"Gadget Island, Inc. dba Gear Isle",https://www.fda.gov/Safety/Recalls/ucm579121.htm,
"Tue, 03 Oct 2017 14:35:00 -0400",Jansal Valley®,Dried Chili De Arbol Peppers,Undeclared Peanuts,Sid Wainer &amp; Son®,https://www.fda.gov/Safety/Recalls/ucm578718.htm,
"Tue, 03 Oct 2017 14:15:00 -0400",Royal Asia,Shrimp Wonton Noodle Soup,Undeclared Eggs,TAI FOONG USA,https://www.fda.gov/Safety/Recalls/ucm578711.htm,
"Mon, 02 Oct 2017 00:00:00 -0400",Tampico®,Tropical Punch,Undeclared Milk,Dean Dairy,https://www.fda.gov/Safety/Recalls/ucm578435.htm,
"Fri, 29 Sep 2017 22:01:00 -0400","Hannaford, Nice!, Fresh Selects, Enza&#39;s Choice","Egg Salad Sandwiches, Ham Salad Sandwiches, and Seafood Stuffing",Listeria monocytogenes,"Greencore USA, LLC",https://www.fda.gov/Safety/Recalls/ucm578325.htm,
"Thu, 28 Sep 2017 00:00:00 -0400",WAKE-UP,Instant Coffee,Undeclared Milk,Hong Lee Trading Inc.,https://www.fda.gov/Safety/Recalls/ucm578339.htm,
"Wed, 27 Sep 2017 00:00:00 -0400",OriGen,Catheters,Potential for separation of tube from hub,OriGen Biomedical,https://www.fda.gov/Safety/Recalls/ucm575736.htm,
"Wed, 27 Sep 2017 00:00:00 -0400",King Soopers,Deli Chicken Salad Sandwich,Listeria monocytogenes,King Soopers,https://www.fda.gov/Safety/Recalls/ucm577865.htm,
"Tue, 26 Sep 2017 15:18:00 -0400",Waterfront Bistro,Tartar Sauce,Undeclared Egg,"Silver Spring Foods, Inc.",https://www.fda.gov/Safety/Recalls/ucm577561.htm,
"Mon, 25 Sep 2017 00:00:00 -0400",Chun Yen Trading Co.,Reishi Coffee,Undeclared milk,Chun Yen Trading Co.,https://www.fda.gov/Safety/Recalls/ucm578323.htm,
"Fri, 22 Sep 2017 19:24:00 -0400",Ri Wang Food,Seafood Products,Undeclared Milk,America New York Ri Wang Food Group Co. ltd,https://www.fda.gov/Safety/Recalls/ucm577119.htm,
"Wed, 20 Sep 2017 20:50:00 -0400",Bristol Farms,Tasty Treats Nonpareils Milk Chocolate,Undeclared Milk,First Source,https://www.fda.gov/Safety/Recalls/ucm576841.htm,
"Wed, 20 Sep 2017 16:32:00 -0400","Natures Supplement, Inc.",Dietary Supplement,Unapproved new drug,"Natures Supplement, Inc.",https://www.fda.gov/Safety/Recalls/ucm576834.htm,
"Wed, 20 Sep 2017 13:17:00 -0400","Rhino 7, Papa Zen, Fifty Shades, and Grand X",Dietary Supplement,Unapproved new drug,"Gadget Island, Inc. dba Gear Isle",https://www.fda.gov/Safety/Recalls/ucm576785.htm,
"Tue, 19 Sep 2017 00:00:00 -0400",Death Wish Coffee Co.,Nitro Cold Brew Coffee,Potential for Botulin Toxin,Death Wish Coffee Co.,https://www.fda.gov/Safety/Recalls/ucm576809.htm,
"Wed, 13 Sep 2017 00:00:00 -0400",Natural Grocers,Organic Deglet Noor Dates Pitted,Undeclared coconut,"Vitamin Cottage Natural Food Markets, Inc.",https://www.fda.gov/Safety/Recalls/ucm576042.htm,
"Tue, 12 Sep 2017 11:44:00 -0400",Cherry Valley,Cupcakes,Undeclared milk,Cherry Valley Marketplace,https://www.fda.gov/Safety/Recalls/ucm575671.htm,
"Mon, 11 Sep 2017 00:00:00 -0400",Medtronic,Infusion sets,A component may be susceptible to being blocked by fluid,Medtronic,https://www.fda.gov/Safety/Recalls/ucm575731.htm,
"Sun, 10 Sep 2017 15:40:00 -0400","Frutas Selectas de Tijuana, S. de R.L. of C.V.",Maradol Papayas,Salmonella,Bravo Produce Inc.,https://www.fda.gov/Safety/Recalls/ucm575287.htm,
"Sun, 10 Sep 2017 00:00:00 -0400","Frutas Selectas de Tijuana, S. de R.L. of C.V.",Maradol Papayas,Salmonella,Bravo Produce Inc.,https://www.fda.gov/Safety/Recalls/ucm575660.htm,
"Sat, 09 Sep 2017 00:00:00 -0400","Coborn’s, Cash Wise",Bread,"Undeclared Milk, Soy, and/or Eggs","Coborn&#39;s, Inc.",https://www.fda.gov/Safety/Recalls/ucm575379.htm,
"Fri, 08 Sep 2017 18:58:00 -0400",San Francisco Foods,Seafood Salad,Undeclared Milk,"Simply Fresh Foods, Inc.",https://www.fda.gov/Safety/Recalls/ucm575271.htm,
"Thu, 07 Sep 2017 00:00:00 -0400",Garden of Life,Baby Organic Liquid Supplement,Potential Choking Hazard,Garden of Life LLC,https://www.fda.gov/Safety/Recalls/ucm575135.htm,
"Wed, 06 Sep 2017 20:55:00 -0400",Genentech,Activase® (alteplase) 100mg vials,Lack of Sterility Assurance of the Sterile Water for Injection,Genentech,https://www.fda.gov/Safety/Recalls/ucm574980.htm,
"Tue, 05 Sep 2017 00:00:00 -0400",Wegmans,Muffins,Undeclared walnuts,Wegmans,https://www.fda.gov/Safety/Recalls/ucm575054.htm,
"Sat, 02 Sep 2017 00:00:00 -0400","Southeastern Grocers, Publix Supermarkets, Inc. and more","Fajita blend, Stir fry vegetable, Vegetable kabob and more",Listeria monocytogenes,"Country Fresh Orlando, LLC.",https://www.fda.gov/Safety/Recalls/ucm574624.htm,
"Fri, 01 Sep 2017 18:39:00 -0400",ShopRite,Chocolate Chips,Undeclared milk,Wakefern Food Corp.,https://www.fda.gov/Safety/Recalls/ucm574585.htm,
"Fri, 01 Sep 2017 00:00:00 -0400",PharMEDium,Oxytocin,Sub-potency,"PharMEDium Services, LLC",https://www.fda.gov/Safety/Recalls/ucm574555.htm,
"Thu, 31 Aug 2017 00:00:00 -0400","HYDROmorphone, Levophed","Hydromorphone HCl, Levophed",Lack of Sterility Assurance,"Hospira, Inc.",https://www.fda.gov/Safety/Recalls/ucm574474.htm,
"Wed, 30 Aug 2017 21:54:00 -0400","Hospira, Inc.",Vancomycin Hydrochloride for Injection,Particulate Matter,"Hospira, Inc.",https://www.fda.gov/Safety/Recalls/ucm574258.htm,
